Артикул;Наименование;ТИП;стиль;"МРЦ руб";"цвет арматуры";"цвет абажура";"материал арматуры";"материал абажура";"цвет встройки";"цвет кабеля/цепи";производитель;цоколь;напряжение;"мощность ламп";"степень защиты";"кол-во ламп";диаметр;"диаметр абажура/плафона";ширина;высота;"диапазон регулировки min-max";коллекция;фото;вес;Количество
"LDP 11337 GD";"Подвесной светильник Lumina Deco Bessa LDP 11337 GD";Светильники;"Лофт, Модерн";8900;"золотой, прозрачный";"золотой, прозрачный";"металл, стекло";"металл, стекло";золотой;прозрачный;"Lumina Deco";E27;220-240;40;IP20;1;200;200;;350;"400 - 1300";BESSA;"https://luminadecoshop.ru/23977/podvesnoj-svetilnik-lumina-deco-bessa-ldp-11337-gd.jpg;https://luminadecoshop.ru/28042/podvesnoj-svetilnik-lumina-deco-bessa-ldp-11337-gd.jpg;https://luminadecoshop.ru/28044/podvesnoj-svetilnik-lumina-deco-bessa-ldp-11337-gd.jpg;https://luminadecoshop.ru/28046/podvesnoj-svetilnik-lumina-deco-bessa-ldp-11337-gd.jpg;https://luminadecoshop.ru/28048/podvesnoj-svetilnik-lumina-deco-bessa-ldp-11337-gd.jpg;https://luminadecoshop.ru/28050/podvesnoj-svetilnik-lumina-deco-bessa-ldp-11337-gd.jpg";"4 ";30
"LDW 6802 PR";"Бра Lumina Deco Navarro LDW 6802 PR";Бра;"Индустриальный, Лофт";8880;бронза;прозрачный;"стекло, металл";стекло;черный;;"Lumina Deco";E27;220-240;40;IP20;1;;180;180;250;;NAVARRO;"https://luminadecoshop.ru/28251/bra-lumina-deco-navarro-ldw-6802-pr.jpg;https://luminadecoshop.ru/28278/bra-lumina-deco-navarro-ldw-6802-pr.jpg";3;7
"LDW 6801-1 MD+PR";"Бра Lumina Deco Nubi LDW 6801-1 MD+PR";Бра;"Индустриальный, Лофт";8640;бронза;прозрачный;"стекло, металл";стекло;черный;;"Lumina Deco";E27;220-240;40;IP20;1;;180;180;250;да;NUBI;"https://luminadecoshop.ru/25621/bra-lumina-deco-nubi-ldw-6801-1-mdpr.jpg;https://luminadecoshop.ru/28281/bra-lumina-deco-nubi-ldw-6801-1-mdpr.jpg";2;1
"LDP 173-260 CHR";"Подвесной светильник Lumina Deco Brico LDP 173-260 CHR";Светильники;Лофт;17880;хром;прозрачный;"стекло, металл";стекло;хром;черный;"Lumina Deco";E27;220-240;40;IP20;1;260;260;;250;"300 - 1300";BRICO;"https://luminadecoshop.ru/28361/podvesnoj-svetilnik-lumina-deco-brico-ldp-173-260-chr.jpg;https://luminadecoshop.ru/28362/podvesnoj-svetilnik-lumina-deco-brico-ldp-173-260-chr.jpg;https://luminadecoshop.ru/28363/podvesnoj-svetilnik-lumina-deco-brico-ldp-173-260-chr.jpg;https://luminadecoshop.ru/28364/podvesnoj-svetilnik-lumina-deco-brico-ldp-173-260-chr.jpg;https://luminadecoshop.ru/28365/podvesnoj-svetilnik-lumina-deco-brico-ldp-173-260-chr.jpg";"4 ";11
"LDW 66247-2 WT+CHR";"Бра Lumina Deco Glamour LDW 66247-2 WT+CHR";Бра;Классический;11400;"белый, хром";;"хрусталь, металл, ткань";ткань;хром;;"Lumina Deco";E14;220-240;40;IP20;2;;150;300;380;да;GLAMOUR;"https://luminadecoshop.ru/16547/bra-lumina-deco-glamour-ldw-66247-2-wtchr.jpg;https://luminadecoshop.ru/18012/bra-lumina-deco-glamour-ldw-66247-2-wtchr.jpg;https://luminadecoshop.ru/21204/bra-lumina-deco-glamour-ldw-66247-2-wtchr.jpg;https://luminadecoshop.ru/21886/bra-lumina-deco-glamour-ldw-66247-2-wtchr.jpg;https://luminadecoshop.ru/21887/bra-lumina-deco-glamour-ldw-66247-2-wtchr.jpg;https://luminadecoshop.ru/21888/bra-lumina-deco-glamour-ldw-66247-2-wtchr.jpg;https://luminadecoshop.ru/21889/bra-lumina-deco-glamour-ldw-66247-2-wtchr.jpg;https://luminadecoshop.ru/23112/bra-lumina-deco-glamour-ldw-66247-2-wtchr.jpg;https://luminadecoshop.ru/23119/bra-lumina-deco-glamour-ldw-66247-2-wtchr.jpg;https://luminadecoshop.ru/23125/bra-lumina-deco-glamour-ldw-66247-2-wtchr.jpg;https://luminadecoshop.ru/23126/bra-lumina-deco-glamour-ldw-66247-2-wtchr.jpg;https://luminadecoshop.ru/23132/bra-lumina-deco-glamour-ldw-66247-2-wtchr.jpg;https://luminadecoshop.ru/25617/bra-lumina-deco-glamour-ldw-66247-2-wtchr.jpg;https://luminadecoshop.ru/25698/bra-lumina-deco-glamour-ldw-66247-2-wtchr.jpg";5;14
"LDP 160-12 BK";"Подвесной светильник Lumina Deco Zodiak LDP 160-12 BK";Светильники;Современный;48720;черный;прозрачный;"стекло, металл";стекло;черный;черный;"Lumina Deco";E27;220-240;40;IP20;"10 и выше";900;130;-;400;"600 - 900";Zodiak;"https://luminadecoshop.ru/16551/podvesnoj-svetilnik-lumina-deco-zodiak-ldp-160-12-bk.jpg;https://luminadecoshop.ru/19376/podvesnoj-svetilnik-lumina-deco-zodiak-ldp-160-12-bk.jpg;https://luminadecoshop.ru/20553/podvesnoj-svetilnik-lumina-deco-zodiak-ldp-160-12-bk.jpg;https://luminadecoshop.ru/23889/podvesnoj-svetilnik-lumina-deco-zodiak-ldp-160-12-bk.jpg;https://luminadecoshop.ru/25255/podvesnoj-svetilnik-lumina-deco-zodiak-ldp-160-12-bk.jpg;https://luminadecoshop.ru/25266/podvesnoj-svetilnik-lumina-deco-zodiak-ldp-160-12-bk.jpg;https://luminadecoshop.ru/25282/podvesnoj-svetilnik-lumina-deco-zodiak-ldp-160-12-bk.jpg;https://luminadecoshop.ru/25804/podvesnoj-svetilnik-lumina-deco-zodiak-ldp-160-12-bk.jpg";"7 ";14
"LDP 173-260 MD";"Подвесной светильник Lumina Deco Brico LDP 173-260 MD";Светильники;Лофт;17880;бронза;;стекло;стекло;бронза;черный;"Lumina Deco";E27;220-240;40;IP20;1;260;260;;250;"300 - 1300";"LOFT ";"https://luminadecoshop.ru/28366/podvesnoj-svetilnik-lumina-deco-brico-ldp-173-260-md.jpg;https://luminadecoshop.ru/28367/podvesnoj-svetilnik-lumina-deco-brico-ldp-173-260-md.jpg;https://luminadecoshop.ru/28368/podvesnoj-svetilnik-lumina-deco-brico-ldp-173-260-md.jpg;https://luminadecoshop.ru/28369/podvesnoj-svetilnik-lumina-deco-brico-ldp-173-260-md.jpg";"4 ";12
"LDW 9268-1 GD";"Бра Lumina Deco Dominni LDW 9268-1 GD";Бра;Классический;7500;золотой;;"металл, хрусталь, пластик";металл;золотой;;"Lumina Deco";E14;220-240;40;IP20;1;;150;250;380;;DOMINNI;"https://luminadecoshop.ru/28275/bra-lumina-deco-dominni-ldw-9268-1-gd.jpg;https://luminadecoshop.ru/28347/bra-lumina-deco-dominni-ldw-9268-1-gd.jpg;https://luminadecoshop.ru/28348/bra-lumina-deco-dominni-ldw-9268-1-gd.jpg";3;4
"LDW 9268-1 CHR";"Бра Lumina Deco Dominni LDW 9268-1 CHR";Бра;Классический;7500;"белый, хром";белый;"металл, хрусталь, пластик";"металл, пластик";хром;;"Lumina Deco";E14;220-240;40;IP20;1;;150;250;380;;DOMINNI;"https://luminadecoshop.ru/28274/bra-lumina-deco-dominni-ldw-9268-1-chr.jpg;https://luminadecoshop.ru/28345/bra-lumina-deco-dominni-ldw-9268-1-chr.jpg;https://luminadecoshop.ru/28346/bra-lumina-deco-dominni-ldw-9268-1-chr.jpg";3;3
"LDW 9267-1 GD";"Бра Lumina Deco Finezzia LDW 9267-1 GD";Бра;Классический;7150;"золотой, кремовый";кремовый;"металл, хрусталь, пластик";"металл, пластик";золотой;;"Lumina Deco";E14;220-240;40;IP20;1;;150;250;380;;"FINEZZIA ";"https://luminadecoshop.ru/22257/bra-lumina-deco-finezzia-ldw-9267-1-gd.jpg;https://luminadecoshop.ru/22267/bra-lumina-deco-finezzia-ldw-9267-1-gd.jpg;https://luminadecoshop.ru/22277/bra-lumina-deco-finezzia-ldw-9267-1-gd.jpg;https://luminadecoshop.ru/25696/bra-lumina-deco-finezzia-ldw-9267-1-gd.jpg";3;5
